Store,Address,City,State,Zip,Year,Total_Sales,Dry_Grocery_percent,Dairy_percent,Frozen_Food_percent,Meat_percent,Produce_percent,Floral_percent,Deli_percent,Bakery_percent,General_Merchandise_percent,store_cluster
S0001,1000 W El Norte Pkwy,Escondido,CA,92027,2015,23508945.82,46.13,10.31,7.72,10.77,9.72,0.68,4.35,3.55,6.77,1
S0002,12419 Woodside Ave,Lakeside,CA,92040,2015,17334619.57,45.75,10.64,7.88,11.49,10.13,0.74,3.98,2.97,6.41,1
S0004,671 S Rancho Santa Fe Rd,San Marcos,CA,92078,2015,27913890.97,45.46,9.71,8.03,12.77,10.04,0.61,4.18,3.45,5.75,1
S0006,9643 Mission Gorge Rd,Santee,CA,92071,2015,34625420.87,45.98,9.86,7.44,10.69,10.18,0.83,4.63,3.54,6.84,1
S0007,820 Arneill Rd,Camarillo,CA,93010,2015,30863087.31,44.21,10.21,8.92,11.51,10.34,0.78,4.63,3.02,6.37,1
S0011,3251 De Forest Cir Ste A,Mira Loma,CA,91752,2015,22395673.62,45.38,9.40,7.19,12.14,9.85,0.79,4.87,3.24,7.14,1
S0016,1201 Avocado Ave,El Cajon,CA,92020,2015,23352796.79,47.72,9.14,7.81,11.01,8.85,0.63,4.61,2.87,7.37,1
S0018,10001 Paramount Blvd,Downey,CA,90240,2015,24278729.39,45.28,9.88,7.90,10.61,10.90,0.93,4.30,3.50,6.69,1
S0022,13438 Poway Rd,Poway,CA,92064,2015,28489431.71,47.05,9.66,7.59,10.61,9.22,0.87,4.31,3.41,7.28,1
S0025,2684 N Tustin St,Orange,CA,92865,2015,31318921.91,46.20,10.47,7.96,10.49,11.17,0.53,4.23,3.07,5.87,1
S0028,24160 Lyons Ave,Newhall,CA,91321,2015,17311101.58,45.30,10.32,7.90,11.91,11.65,0.35,3.73,3.01,5.82,1
S0030,3125 W Florida Ave,Hemet,CA,92545,2015,25497338,44.05,10.94,7.08,11.14,11.63,0.83,4.81,3.06,6.47,1
S0035,81 W Foothill Blvd,Upland,CA,91786,2015,18365221.17,46.42,10.11,7.89,12.22,8.80,0.72,4.04,2.93,6.88,1
S0039,1221 S Gaffey St,San Pedro,CA,90731,2015,21361323.01,45.27,10.90,7.40,13.76,7.39,0.69,3.55,4.73,6.30,1
S0041,12801 Excelsior Dr,Santa Fe Springs,CA,90670,2015,25267518.33,46.20,10.59,8.26,10.27,9.51,0.68,4.99,2.79,6.70,1
S0042,13439 Camino Canada,El Cajon,CA,92021,2015,40361802.94,46.78,9.93,7.97,11.69,9.52,0.59,4.67,2.87,5.97,1
S0044,7789 Foothill Blvd,Tujunga,CA,91042,2015,35532265.7,44.39,10.03,7.64,12.61,10.51,0.57,4.10,3.71,6.45,1
S0053,750 N Imperial Ave,El Centro,CA,92243,2015,30897555.99,47.19,10.13,7.49,12.03,8.89,0.65,4.69,2.79,6.15,1
S0057,500 E Manchester Blvd,Inglewood,CA,90301,2015,33446355.83,43.81,9.72,7.53,14.74,10.73,0.59,4.95,1.77,6.15,1
S0058,1855 Cochran St,Simi Valley,CA,93065,2015,28866475.12,46.47,10.04,7.99,10.26,10.04,0.83,4.78,2.98,6.62,1
