Year,Month,Sum_Produce
2012,03,25151525.84
2012,04,24406048.39
2012,05,28249539.01
2012,06,28691364.32
2012,07,28535707.45
2012,08,25793520.64
2012,09,21915641.66
2012,10,21203562.52
2012,11,21736158.96
2012,12,21962976.75
2013,01,20322683.64
2013,02,19829620.75
2013,03,22717069.85
2013,04,21625385.04
2013,05,23000152.40
2013,06,24755406.20
2013,07,26803105.56
2013,08,22600217.01
2013,09,21401265.74
2013,10,19296578.09
2013,11,20489773.49
2013,12,21715706.67
2014,01,22544458.38
2014,02,21262413.12
2014,03,23247168.62
2014,04,22541987.92
2014,05,25943046.75
2014,06,24782178.43
2014,07,24263117.59
2014,08,21879988.86
2014,09,18407263.58
2014,10,19497571.95
2014,11,19444753.17
2014,12,19240384.75
2015,01,20088529.29
2015,02,19772333.34
2015,03,24608406.71
2015,04,21559729.45
2015,05,25792074.59
2015,06,27212464.15
2015,07,26338477.15
2015,08,23130626.60
2015,09,20774415.93
2015,10,20359980.58
2015,11,21936906.81
2015,12,20462899.30
